session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time,round_number,timeout_happened,is_wait_page
hap6zgo3,8,2coyn6vs,7,display_matches_narrative,Intro,1605552991,1,0,0
morw9hf0,7,gkruq4ta,3,survey,Part1,1605552991,1,0,0
pqntdh2k,4,licb3t81,8,display_matches_narrative,Task,1605552992,1,0,0
bnwhita6,3,skexgddt,5,survey,Part3,1605552997,1,0,0
bnwhita6,11,8vaspqqx,3,survey,Part1,1605552997,1,0,0
hap6zgo3,1,655c2l34,6,survey,Part4,1605552998,1,0,0
bnwhita6,7,2ch2eu7u,5,survey,Part3,1605553000,1,0,0
morw9hf0,5,l73tpu9u,4,survey,Part2,1605553002,1,0,0
pqntdh2k,4,licb3t81,9,ios_discrete_pictures,Intro,1605553002,1,0,0
morw9hf0,11,xobvj375,2,survey,Intro,1605553004,1,0,0
hap6zgo3,3,abtzr204,12,filler,Task,1605553004,1,0,0
bnwhita6,5,cj3odth4,3,survey,Part1,1605553005,1,0,0
hap6zgo3,9,3x99ecn2,1,intro,Welcome,1605553005,1,0,0
hap6zgo3,9,3x99ecn2,2,survey,Intro,1605553007,1,0,0
morw9hf0,2,w4ytqlkk,7,display_matches_narrative,Intro,1605553008,1,0,0
pqntdh2k,4,licb3t81,10,ios_discrete_pictures,Task,1605553009,1,0,0
bnwhita6,6,zgjjad4e,4,survey,Part2,1605553009,1,0,0
bnwhita6,12,edbc27pr,3,survey,Part1,1605553009,1,0,0
hap6zgo3,3,abtzr204,13,filler,Result,1605553009,1,0,0
morw9hf0,10,8v7ekppc,2,survey,Intro,1605553011,1,0,0
bnwhita6,10,vfvk3rlg,4,survey,Part2,1605553011,1,0,0
pqntdh2k,4,licb3t81,11,filler,Intro,1605553012,1,0,0
hap6zgo3,7,l1reowvo,6,survey,Part4,1605553013,1,0,0
morw9hf0,4,xkqb0ukb,9,ios_discrete,Intro,1605553014,1,0,0
hap6zgo3,5,fp3vawu4,4,survey,Part2,1605553015,1,0,0
hap6zgo3,8,2coyn6vs,8,display_matches_narrative,Task,1605553016,1,0,0
pqntdh2k,8,6vec4bxi,3,survey,Part1,1605553017,1,0,0
morw9hf0,6,nv937tfn,5,survey,Part3,1605553019,1,0,0
hap6zgo3,3,abtzr204,14,ios_discrete_pictures,Intro,1605553020,1,0,0
pqntdh2k,6,nlo4xyhg,5,survey,Part3,1605553022,1,0,0
morw9hf0,4,xkqb0ukb,10,ios_discrete,Task,1605553025,1,0,0
pqntdh2k,3,rn4t4k3v,5,survey,Part3,1605553025,1,0,0
hap6zgo3,7,l1reowvo,7,display_matches_narrative,Intro,1605553026,1,0,0
hap6zgo3,6,m0c2chrw,4,survey,Part2,1605553026,1,0,0
bnwhita6,3,skexgddt,6,survey,Part4,1605553027,1,0,0
hap6zgo3,3,abtzr204,15,ios_discrete_pictures,Task,1605553028,1,0,0
bnwhita6,7,2ch2eu7u,6,survey,Part4,1605553029,1,0,0
hap6zgo3,3,abtzr204,16,outro,Feedback,1605553031,1,0,0
hap6zgo3,1,655c2l34,7,display_matches_narrative,Intro,1605553032,1,0,0
morw9hf0,4,xkqb0ukb,11,filler,Intro,1605553035,1,0,0
bnwhita6,10,vfvk3rlg,5,survey,Part3,1605553036,1,0,0
pqntdh2k,10,nvt24y3w,1,intro,Welcome,1605553038,1,0,0
bnwhita6,2,ixyuw6pl,4,survey,Part2,1605553038,1,0,0
morw9hf0,9,h8smjmsm,3,survey,Part1,1605553041,1,0,0
bnwhita6,1,d4bg9mk7,4,survey,Part2,1605553042,1,0,0
bnwhita6,13,zwa0dnmw,1,intro,Welcome,1605553042,1,0,0
pqntdh2k,10,nvt24y3w,2,survey,Intro,1605553042,1,0,0
bnwhita6,13,zwa0dnmw,2,survey,Intro,1605553045,1,0,0
pqntdh2k,6,nlo4xyhg,6,survey,Part4,1605553049,1,0,0
pqntdh2k,9,raccuakz,3,survey,Part1,1605553052,1,0,0
bnwhita6,3,skexgddt,7,display_matches_narrative,Intro,1605553053,1,0,0
morw9hf0,10,8v7ekppc,3,survey,Part1,1605553054,1,0,0
bnwhita6,9,i7ll09ld,3,survey,Part1,1605553055,1,0,0
morw9hf0,6,nv937tfn,6,survey,Part4,1605553056,1,0,0
morw9hf0,5,l73tpu9u,5,survey,Part3,1605553057,1,0,0
morw9hf0,6,nv937tfn,7,display_matches_narrative,Intro,1605553060,1,0,0
pqntdh2k,6,nlo4xyhg,7,display_matches_narrative,Intro,1605553061,1,0,0
pqntdh2k,5,6r6acce7,4,survey,Part2,1605553064,1,0,0
hap6zgo3,4,tceg3h82,9,ios_continuous,Intro,1605553066,1,0,0
pqntdh2k,1,0tq85pbh,12,filler,Task,1605553068,1,0,0
bnwhita6,10,vfvk3rlg,6,survey,Part4,1605553069,1,0,0
hap6zgo3,10,c48i5k3t,1,intro,Welcome,1605553070,1,0,0
pqntdh2k,1,0tq85pbh,13,filler,Result,1605553071,1,0,0
hap6zgo3,7,l1reowvo,8,display_matches_narrative,Task,1605553072,1,0,0
bnwhita6,12,edbc27pr,4,survey,Part2,1605553073,1,0,0
hap6zgo3,10,c48i5k3t,2,survey,Intro,1605553075,1,0,0
bnwhita6,10,vfvk3rlg,7,display_matches_narrative,Intro,1605553076,1,0,0
hap6zgo3,4,tceg3h82,10,ios_continuous,Task,1605553076,1,0,0
pqntdh2k,6,nlo4xyhg,8,display_matches_narrative,Task,1605553077,1,0,0
hap6zgo3,4,tceg3h82,11,filler,Intro,1605553080,1,0,0
bnwhita6,2,ixyuw6pl,5,survey,Part3,1605553087,1,0,0
morw9hf0,4,xkqb0ukb,12,filler,Task,1605553088,1,0,0
hap6zgo3,5,fp3vawu4,5,survey,Part3,1605553093,1,0,0
morw9hf0,2,w4ytqlkk,8,display_matches_narrative,Task,1605553093,1,0,0
pqntdh2k,4,licb3t81,12,filler,Task,1605553095,1,0,0
